,wait
0,0.0
1,0.0
2,0.0
3,0.0
4,1.0
5,2.0
6,3.0
7,4.0
8,3.0
9,4.0
10,5.0
11,6.0
12,5.0
13,6.0
14,7.0
15,11.0
16,8.0
17,7.0
18,8.0
19,9.0
20,10.0
21,9.0
22,10.0
23,11.0
24,12.0
25,12.0
26,12.0
27,12.0
28,14.0
29,14.0
30,14.0
31,14.0
32,18.0
33,16.0
34,16.0
35,16.0
36,16.0
37,18.0
38,17.0
39,18.0
40,19.0
41,19.0
42,20.0
43,21.0
44,21.0
45,19.0
46,23.0
47,23.0
48,23.0
49,19.0
50,23.0
51,22.0
52,21.0
53,23.0
54,19.0
55,23.0
56,21.0
57,22.0
58,19.0
59,23.0
60,22.0
61,21.0
62,19.0
63,19.0
64,22.0
65,23.0
66,21.0
67,22.0
68,21.0
69,19.0
70,23.0
71,23.0
72,19.0
73,23.0
74,23.0
75,21.0
76,23.0
77,23.0
78,19.0
79,21.0
80,19.0
81,23.0
82,21.0
83,19.0
84,21.0
85,25.0
86,22.0
87,20.0
88,20.0
89,23.0
90,23.0
91,22.0
92,20.0
93,20.0
94,23.0
95,21.0
96,21.0
97,20.0
98,20.0
99,21.0
100,20.0
101,20.0
102,23.0
103,20.0
104,20.0
105,22.0
106,21.0
107,20.0
108,20.0
109,22.0
110,22.0
111,21.0
112,20.0
113,21.0
114,22.0
115,21.0
116,20.0
117,22.0
118,21.0
119,21.0
120,22.0
121,20.0
122,22.0
123,21.0
124,22.0
125,21.0
126,21.0
127,22.0
128,21.0
129,22.0
130,20.0
131,21.0
132,21.0
133,21.0
134,21.0
135,21.0
136,21.0
137,21.0
138,22.0
139,21.0
140,20.0
141,21.0
142,22.0
143,21.0
144,20.0
145,21.0
146,22.0
147,21.0
148,20.0
149,22.0
150,22.0
151,21.0
152,21.0
153,20.0
154,22.0
155,22.0
156,21.0
157,20.0
158,22.0
159,22.0
160,20.0
161,20.0
162,22.0
163,22.0
164,20.0
165,22.0
166,22.0
167,22.0
168,20.0
169,22.0
170,22.0
171,20.0
172,19.0
173,22.0
174,22.0
175,20.0
176,20.0
177,22.0
178,22.0
179,22.0
180,20.0
181,21.0
182,22.0
183,22.0
184,20.0
185,23.0
186,22.0
187,22.0
188,22.0
189,20.0
190,22.0
191,22.0
192,21.0
193,20.0
194,21.0
195,22.0
196,21.0
197,20.0
198,20.0
199,22.0
200,22.0
201,21.0
202,20.0
203,22.0
204,21.0
205,22.0
206,21.0
207,21.0
208,19.0
209,22.0
210,21.0
211,21.0
212,20.0
213,22.0
214,21.0
215,21.0
216,21.0
217,21.0
218,20.0
219,21.0
220,21.0
221,20.0
222,20.0
223,21.0
224,22.0
225,19.0
226,22.0
227,20.0
228,22.0
229,19.0
230,20.0
231,22.0
232,22.0
233,20.0
234,20.0
235,22.0
236,22.0
237,20.0
238,22.0
239,20.0
240,20.0
241,22.0
242,20.0
243,22.0
244,22.0
245,20.0
246,22.0
247,23.0
248,20.0
249,20.0
250,21.0
251,23.0
252,22.0
253,20.0
254,20.0
255,23.0
256,23.0
257,20.0
258,20.0
259,23.0
260,22.0
261,23.0
262,21.0
263,20.0
264,23.0
265,24.0
266,21.0
267,21.0
268,22.0
269,24.0
270,21.0
271,23.0
272,21.0
273,21.0
274,22.0
275,23.0
276,20.0
277,20.0
278,23.0
279,23.0
280,20.0
281,20.0
282,22.0
283,24.0
284,20.0
285,20.0
286,22.0
287,24.0
288,20.0
289,20.0
290,22.0
291,24.0
292,20.0
293,20.0
294,24.0
295,22.0
296,21.0
297,19.0
298,21.0
299,24.0
300,19.0
301,21.0
302,24.0
303,21.0
304,18.0
305,21.0
306,24.0
307,21.0
308,18.0
309,21.0
310,21.0
311,24.0
312,18.0
313,21.0
314,21.0
315,24.0
316,19.0
317,21.0
318,24.0
319,21.0
320,20.0
321,21.0
322,21.0
323,23.0
324,22.0
325,20.0
326,21.0
327,22.0
328,22.0
329,20.0
330,21.0
331,22.0
332,20.0
333,21.0
334,20.0
335,22.0
336,22.0
337,21.0
338,22.0
339,20.0
340,21.0
341,22.0
342,20.0
343,23.0
344,20.0
345,21.0
346,21.0
347,20.0
348,24.0
349,20.0
350,21.0
351,19.0
352,25.0
353,19.0
354,19.0
355,25.0
356,22.0
357,19.0
358,19.0
359,25.0
360,22.0
361,19.0
362,19.0
363,19.0
364,23.0
365,25.0
366,19.0
367,19.0
368,25.0
369,23.0
370,19.0
371,19.0
372,25.0
373,23.0
374,19.0
375,19.0
376,23.0
377,23.0
378,25.0
379,19.0
380,23.0
381,19.0
382,25.0
383,20.0
384,19.0
385,24.0
386,20.0
387,21.0
388,20.0
389,23.0
390,24.0
391,20.0
392,23.0
393,24.0
394,20.0
395,21.0
396,24.0
397,20.0
398,22.0
399,21.0
400,19.0
401,21.0
402,21.0
403,23.0
404,19.0
405,21.0
406,22.0
407,19.0
408,22.0
409,22.0
410,21.0
411,19.0
412,22.0
413,21.0
414,22.0
415,19.0
416,22.0
417,22.0
418,21.0
419,19.0
420,22.0
421,21.0
422,22.0
423,19.0
424,20.0
425,22.0
426,21.0
427,22.0
428,22.0
429,20.0
430,21.0
431,22.0
432,22.0
433,22.0
434,22.0
435,22.0
436,22.0
437,21.0
438,22.0
439,22.0
440,21.0
441,21.0
442,22.0
443,22.0
444,21.0
445,22.0
446,22.0
447,20.0
448,21.0
449,22.0
450,22.0
451,21.0
452,20.0
453,21.0
454,23.0
455,22.0
456,23.0
457,21.0
458,19.0
459,23.0
460,23.0
461,21.0
462,21.0
463,23.0
464,19.0
465,23.0
466,21.0
467,19.0
468,23.0
469,23.0
470,19.0
471,23.0
472,23.0
473,19.0
474,23.0
475,21.0
476,18.0
477,22.0
478,23.0
479,22.0
480,18.0
481,24.0
482,22.0
483,22.0
484,18.0
485,21.0
486,23.0
487,24.0
488,23.0
489,24.0
490,18.0
491,23.0
492,20.0
493,23.0
494,21.0
495,21.0
496,20.0
497,23.0
498,22.0
499,21.0
500,20.0
501,24.0
502,21.0
503,21.0
504,20.0
505,24.0
506,21.0
507,21.0
508,20.0
509,20.0
510,24.0
511,20.0
512,21.0
513,20.0
514,24.0
515,19.0
516,21.0
517,24.0
518,19.0
519,20.0
520,20.0
521,22.0
522,24.0
523,21.0
524,21.0
525,23.0
526,20.0
527,21.0
528,21.0
529,18.0
530,23.0
531,21.0
532,17.0
533,21.0
534,24.0
535,20.0
536,18.0
537,22.0
538,24.0
539,20.0
540,23.0
541,22.0
542,18.0
543,21.0
544,23.0
545,18.0
546,22.0
547,23.0
548,21.0
549,18.0
550,22.0
551,22.0
552,22.0
553,19.0
554,21.0
555,22.0
556,22.0
557,20.0
558,20.0
559,21.0
560,21.0
561,22.0
562,20.0
563,22.0
564,20.0
565,22.0
566,20.0
567,21.0
568,23.0
569,23.0
570,20.0
571,20.0
