,Rewards,Steps,WaitTime
0,-283.18,140,17.25
1,-324.87,125,14.62
2,-675.03,130,15.32
3,-276.93,128,15.35
4,-281.3,145,16.3
5,-529.9,130,15.36
6,-526.53,137,15.01
7,-379.92,144,15.12
8,-732.36,133,16.81
9,-380.5,140,15.98
10,-576.29,132,15.46
11,-275.82,121,14.28
12,-626.34,123,15.62
13,-235.96,181,16.4
14,-633.89,128,16.75
15,-626.84,140,14.7
16,-734.6,133,16.27
17,-425.32,146,14.31
18,-582.48,143,15.95
19,-682.85,137,16.26
20,-578.95,124,15.47
21,-325.9,138,14.7
22,-232.33,133,16.15
23,-178.75,151,14.99
24,-426.31,127,15.0
25,-1025.08,120,14.95
26,-279.55,127,16.66
27,-379.98,134,16.29
28,-778.92,126,15.41
29,-574.8,125,14.93
30,-324.05,156,14.29
31,-325.92,120,14.62
32,-272.83,124,13.83
33,-482.74,156,16.85
34,-585.16,133,17.15
35,-336.48,143,16.95
36,-575.53,119,14.17
37,-426.38,148,15.1
38,-528.78,133,15.46
39,-623.39,129,13.85
40,-636.91,128,17.06
41,-31.45,140,15.71
42,-78.6,134,16.53
43,-425.68,123,14.59
44,-525.65,140,14.84
45,-235.33,159,16.84
46,-331.99,140,16.37
47,-144.34,143,19.91
48,-676.89,144,15.53
49,-1084.43,144,17.28
50,-780.13,140,16.77
51,-428.83,143,16.42
52,-337.88,144,17.06
53,-577.99,130,15.4
54,-231.29,144,15.9
55,-382.98,166,15.54
56,-634.4,127,16.77
57,-579.29,120,15.95
58,-234.64,140,16.68
59,-424.97,130,14.6
60,-582.86,139,16.37
61,-880.7,134,16.03
62,-478.46,143,15.63
63,-731.75,143,16.68
64,-588.43,181,17.45
65,-135.01,148,16.83
66,-331.01,153,16.52
67,-774.45,134,14.63
68,-380.52,123,15.98
69,-581.13,142,16.56
70,-274.69,131,14.9
71,-122.43,128,14.34
72,-385.02,136,16.9
73,-634.41,140,17.44
74,-424.66,127,14.77
75,-274.32,134,14.4
76,-342.17,162,18.52
77,-377.49,142,14.97
78,-176.4,130,14.36
79,-377.76,140,15.12
80,-428.41,125,15.66
81,-279.74,133,15.2
82,-873.62,126,13.07
83,-179.46,138,15.64
84,-384.29,153,16.7
85,-429.17,135,14.89
86,-81.22,138,16.21
87,-377.42,136,14.79
88,-478.18,133,15.94
89,-523.57,130,14.57
90,-179.84,127,15.83
91,-275.38,124,14.64
92,-282.53,146,15.86
93,-432.14,165,16.23
94,-385.54,141,16.86
95,-327.18,131,15.72
96,-725.2,129,15.23
97,-379.87,150,16.03
98,-732.73,155,16.53
99,-480.97,152,15.22
100,-1130.41,142,16.08
101,-637.42,150,17.89
102,-278.93,141,15.51
103,-879.13,133,16.41
104,-480.1,135,15.82
105,-425.36,140,14.42
106,-181.67,136,16.43
107,-381.05,157,15.96
108,-438.13,160,17.84
109,-435.39,133,16.4
110,-429.56,139,16.12
111,-483.03,143,17.43
112,-628.68,129,15.4
113,-643.4,148,19.56
114,-178.32,127,15.52
115,-533.26,147,16.55
116,-80.33,155,15.45
117,-276.98,126,15.02
118,-479.96,136,16.33
119,-879.03,128,15.58
120,-433.61,133,16.5
121,-531.54,139,16.78
122,-385.24,138,17.35
123,-477.66,146,15.67
124,-831.75,129,17.42
125,-182.51,140,16.4
126,-629.44,138,15.97
127,-331.55,133,16.45
128,-428.18,136,15.26
129,-175.66,150,14.62
130,-132.13,132,16.93
131,-378.2,134,15.22
132,-726.17,125,15.2
133,-386.84,148,17.11
134,-277.87,133,14.98
135,-129.93,150,15.71
136,-379.33,131,15.46
137,-124.71,118,15.26
138,-583.7,129,16.86
139,-273.09,133,13.66
140,-374.17,123,14.33
141,-178.92,126,16.0
142,-625.81,128,14.09
143,-526.27,133,15.05
144,-227.1,124,14.79
145,-277.26,157,15.78
146,-523.1,138,13.63
147,-526.04,137,14.76
148,-435.59,144,17.58
149,-232.1,134,16.36
150,-373.83,124,14.43
151,-679.14,132,16.17
152,-636.79,150,17.55
153,-230.15,150,15.81
154,-425.04,146,14.73
155,-782.98,142,15.64
156,-586.68,143,17.59
157,-534.2,144,17.0
158,-729.92,135,16.01
159,-481.83,135,14.88
160,-388.56,143,17.57
161,-535.82,156,17.35
162,-429.7,135,15.54
163,-730.59,131,15.76
164,-1075.1,120,13.64
165,-635.98,152,17.21
166,-381.57,162,16.1
167,-432.4,141,15.56
168,-628.26,131,14.94
169,-223.19,122,13.66
170,-382.8,130,17.29
171,-430.78,149,16.25
172,-578.05,139,15.76
173,-426.78,123,14.68
174,-377.1,129,15.22
175,-474.54,135,13.55
176,-328.85,141,15.04
177,-782.07,129,16.35
178,-1072.21,128,13.84
179,-576.32,117,15.06
180,-176.27,137,14.97
181,-429.71,162,15.75
182,-124.43,124,15.03
183,-1023.72,131,13.92
184,-428.98,125,16.15
185,-225.14,145,14.13
186,-274.81,146,14.74
187,-75.84,127,15.15
188,-172.3,142,13.31
189,-477.57,147,15.6
190,-676.45,136,15.43
191,-328.04,154,15.74
192,-188.79,153,17.05
193,-432.37,155,16.71
194,-132.06,127,16.01
195,-381.01,128,16.08
196,-227.32,138,14.9
197,-426.64,131,15.18
198,-278.69,139,16.1
199,-430.51,156,16.47
200,-671.45,118,13.19
201,-286.04,146,16.98
202,-276.08,133,14.71
203,-284.52,130,17.05
204,-182.93,138,17.17
205,-430.49,141,15.63
206,-387.02,153,17.56
207,-272.27,134,13.52
208,-574.1,142,14.03
209,-579.83,124,16.23
210,-531.7,140,15.98
211,-378.81,130,15.37
212,-227.9,129,15.69
213,-477.12,142,14.99
214,-534.56,147,17.27
215,-328.95,137,15.58
216,-530.43,166,15.87
217,-529.37,132,15.54
218,-431.12,147,16.81
219,-177.16,119,15.54
220,-225.89,133,14.64
221,-727.8,131,15.42
222,-626.76,136,15.28
223,-626.28,116,15.39
224,-580.04,150,15.87
225,-481.32,135,16.2
226,-580.59,141,15.57
227,-541.0,150,17.63
228,-829.54,128,16.03
229,-379.69,131,16.37
230,-422.46,116,13.73
231,-278.29,133,15.57
232,-433.35,128,16.25
233,-424.69,119,14.25
234,-176.92,141,14.77
235,-126.91,135,15.27
236,-270.89,126,13.05
237,-184.83,140,17.19
238,-486.89,147,16.86
239,-577.1,125,14.8
240,-678.72,146,16.1
241,-227.25,148,15.65
242,-426.4,155,14.79
243,-131.21,151,16.16
244,-442.54,161,17.79
245,-582.01,130,16.14
246,-634.41,150,16.36
247,-282.36,134,16.44
248,-281.0,170,16.12
249,-729.83,132,16.12
250,-581.46,138,16.71
251,-778.73,130,14.43
252,-224.16,128,14.03
