,Rewards,Steps,WaitTime
0,-93.82,271,59.44
1,-52.38,259,64.98
2,-36.58,235,53.62
3,-58.59,260,54.58
4,-50.41,246,53.21
5,25.45,244,48.54
6,-35.04,265,51.93
7,-24.54,266,55.46
8,-2.76,266,51.69
9,-35.52,296,65.88
10,-68.02,254,61.22
11,-24.05,259,55.98
12,-37.16,272,52.11
13,-66.15,254,54.21
14,-50.21,297,57.85
15,-51.57,259,53.15
16,0.41,274,62.82
17,-64.92,235,50.65
18,-49.32,270,58.01
19,-66.12,281,53.36
20,-40.28,298,60.62
21,-56.89,257,62.02
22,-113.91,275,65.42
23,11.25,262,42.71
24,-23.89,259,47.56
25,-54.25,254,57.32
26,-86.86,263,57.46
27,-47.68,284,60.18
28,-43.51,313,66.24
29,-93.65,315,66.62
30,-93.92,291,53.33
31,-59.4,257,59.44
32,-51.82,282,71.89
33,-40.89,250,55.87
34,-62.06,313,73.39
35,-7.61,260,60.76
36,-38.02,242,54.28
37,-34.78,228,48.47
38,-104.0,274,66.95
39,-59.53,243,56.69
40,6.46,255,52.92
41,-3.7,235,44.19
42,-76.69,274,60.79
43,-33.87,259,47.37
44,-13.79,289,53.32
45,-41.91,225,48.78
46,-134.99,263,58.44
47,-64.98,244,57.51
48,-67.03,272,65.01
49,-94.42,255,61.95
50,-44.18,230,47.19
51,-88.41,262,46.15
52,-37.49,281,59.74
53,-33.56,296,53.97
54,-91.48,252,51.63
55,-77.1,256,52.31
56,-26.53,259,54.32
57,-77.29,303,53.48
58,-33.46,246,51.72
59,-76.64,247,54.8
60,-64.88,274,48.11
61,-132.41,297,66.59
62,-46.15,271,54.05
63,-66.2,289,57.76
64,-22.51,259,49.29
65,-28.84,261,60.54
66,-78.38,261,53.6
67,-19.33,269,59.37
68,-13.68,270,53.8
69,-75.88,272,63.67
70,-21.36,273,58.83
71,-120.74,250,58.43
72,-58.44,247,53.65
73,-21.77,277,60.18
74,-145.94,266,63.3
75,-20.38,272,65.86
76,-58.41,285,49.95
77,-14.82,242,54.55
78,-37.37,268,59.46
79,-57.15,294,64.87
80,-5.44,233,53.57
81,-93.71,235,50.67
82,-97.68,258,51.02
83,-27.61,273,59.92
84,-89.52,264,59.34
85,-25.03,270,56.27
86,-107.47,266,56.17
87,-15.37,258,56.23
88,-45.29,267,51.47
89,-109.21,255,63.16
90,-28.85,259,53.09
91,-51.19,260,54.4
92,-33.02,271,50.32
93,-63.09,281,57.91
94,-20.69,261,55.39
95,-0.82,260,57.78
96,-32.05,272,61.51
97,-77.0,257,57.25
98,-23.02,240,55.02
99,-81.08,290,65.21
100,-33.82,265,64.42
101,-77.02,238,59.7
102,-72.95,257,61.3
103,-13.73,258,50.95
104,-47.98,244,60.27
105,-126.97,268,65.68
106,-43.0,295,63.73
107,-52.2,253,55.07
108,-74.66,299,63.6
109,-75.25,279,58.51
110,-12.36,262,55.5
111,-72.8,246,58.08
112,-64.3,257,54.01
113,-74.1,312,62.46
114,10.43,303,44.51
115,-62.92,296,59.55
116,-43.8,315,61.63
117,-17.62,266,59.38
118,-49.21,266,60.49
119,-62.02,295,67.53
120,-0.73,279,48.57
121,-86.05,273,60.86
122,-43.95,272,59.13
123,-27.5,278,50.95
124,-66.88,264,57.13
125,-132.87,281,72.87
126,-37.56,300,60.78
127,-47.05,259,59.09
128,-116.17,255,53.91
129,-67.52,258,45.18
130,-50.48,231,52.25
131,-60.03,230,48.85
132,-19.49,254,54.41
133,-62.61,255,57.77
134,-126.69,238,56.31
135,15.58,293,52.95
136,-18.74,264,55.85
137,-77.83,272,56.94
138,-13.92,264,57.54
139,-70.42,242,53.78
140,-98.84,235,52.63
141,-31.29,249,51.41
142,-120.9,271,60.42
143,-12.55,264,53.86
144,-91.13,257,58.75
145,-9.26,275,50.44
146,-42.14,248,53.6
147,-61.65,234,46.59
148,-20.49,258,55.28
149,-108.49,292,61.81
150,-57.34,268,64.66
151,-125.78,253,59.99
152,-44.78,238,52.61
153,-122.5,276,53.66
154,-38.67,324,70.43
155,-130.75,252,57.78
156,-35.21,294,66.09
157,-96.02,279,62.53
158,-39.62,286,61.3
159,-37.29,281,51.35
160,-51.1,266,51.1
161,-41.16,260,63.31
162,-58.29,255,48.45
163,-104.25,282,58.23
164,-3.33,271,53.75
165,-73.66,301,73.32
166,-48.38,329,62.48
167,-97.6,259,60.78
168,-53.53,244,54.63
169,-83.9,277,61.47
170,-12.61,242,48.45
171,-93.92,283,67.95
172,-81.72,213,48.84
173,-41.53,248,57.22
174,9.2,261,50.89
175,-41.55,257,57.59
176,-63.36,251,49.11
177,-35.72,273,55.15
178,-43.67,284,66.99
179,-12.57,283,58.87
180,-77.17,284,48.17
181,-26.61,240,55.62
182,-17.04,262,45.63
183,-96.25,304,59.11
184,-74.29,266,56.93
185,-26.77,272,59.29
186,-84.54,262,50.55
187,-59.96,267,54.63
188,-17.14,280,57.17
189,-7.16,263,57.97
190,-104.83,257,59.79
191,-37.51,275,57.11
192,3.4,248,49.74
193,-55.49,287,65.01
194,-1.34,269,49.27
195,-61.26,278,66.4
196,-86.16,226,49.87
197,-13.1,281,56.13
198,5.71,286,57.94
199,-12.31,252,46.46
200,-129.74,254,65.2
201,-52.14,314,59.25
202,-34.3,282,55.93
203,-98.85,259,56.87
204,36.06,299,45.01
205,-68.52,264,62.23
206,-50.6,295,56.02
207,1.94,304,57.3
208,-41.25,279,58.09
209,-20.35,295,55.83
210,-2.78,239,49.17
211,-55.36,246,58.42
212,-57.37,271,58.44
213,-130.69,246,55.85
214,-39.46,298,60.29
215,-26.22,242,51.61
216,-4.55,276,49.82
217,-125.1,267,64.62
218,1.8,263,55.56
219,-59.73,297,59.71
220,-58.79,263,48.24
221,-24.6,244,50.45
222,-86.27,253,64.79
223,18.75,245,44.61
224,-27.81,253,54.46
225,-36.88,265,55.3
226,-72.71,288,69.4
227,22.25,253,53.64
228,-17.02,277,47.42
229,-67.19,287,61.81
230,-20.56,258,47.84
231,-114.32,270,61.4
232,-65.25,219,45.92
233,-61.49,254,49.13
234,-65.97,268,62.92
235,-40.33,251,57.73
236,-64.98,275,53.58
237,1.92,285,52.17
