,Rewards,Steps,WaitTime
0,-3095.0767158491885,288,64.24
1,-759.1315028706248,325,71.55
2,-2374.6635837562903,288,63.7
3,-1889.485889142433,333,68.77
4,-3102.59533477795,308,66.26
5,-1790.0472052786076,301,64.09
6,-3153.691834341153,271,60.74
7,-1339.8662152513616,339,74.93
8,-821.8375664148105,324,72.22
9,-2093.857215360004,315,66.02
10,-1243.1787820217771,344,92.03
11,-1274.3296528688545,296,62.5
12,-1301.8135560526628,322,76.32
13,-2216.3156334369223,267,67.88
14,-2120.547315411622,276,72.87
15,-731.5672975928308,394,77.73
16,-2233.0268940904875,278,63.64
17,-2465.013594478727,256,60.31
18,-1246.0829273681277,343,58.18
19,-1245.1487538787298,309,72.18
20,-1251.6841912691416,301,58.44
21,-3772.47438603645,327,66.54
22,-1414.7491772944625,298,72.46
23,-3379.1637603121912,250,56.01
24,-2023.8555467149731,299,68.63
25,-1782.0153855205622,283,64.88
26,-1211.7851798104177,337,70.69
27,-2402.7756925934564,319,69.38
28,-2777.2645692272795,292,67.46
29,-1485.6046598112891,258,63.06
30,-3329.4356573076743,327,57.58
31,-2200.2042817748047,284,67.82
32,-2169.8923785450916,265,59.83
33,-1909.213338160691,282,69.99
34,-2031.219607395597,293,69.05
35,-1918.2692038245318,305,72.76
36,-3012.232677214184,270,69.43
37,-2802.695677449981,275,68.54
38,-2208.491185765077,291,70.73
39,-998.8604443319542,288,72.48
40,-1607.0792589265682,290,63.74
41,-1717.4450218080424,278,68.93
42,-2079.2206253701324,276,63.45
43,-2203.255731904022,332,67.77
44,-1547.5197611205713,285,58.11
45,-1688.7757762660697,297,68.72
46,-2145.8367312663577,308,75.76
47,-2304.009782852851,256,49.75
48,-1613.9465191154443,303,78.93
49,-1779.4884605218276,306,65.46
50,-2188.9974965055244,313,66.65
51,-2297.5707316069393,312,71.8
52,-2271.812707735953,273,62.62
53,-1217.056697175219,319,75.37
54,-1389.5426876575084,317,68.88
55,-1437.826330838663,320,78.26
56,-1613.8317365819435,301,71.78
57,-1781.8230367412928,287,59.89
58,-1489.1849573924503,286,64.03
59,-2556.3714400380677,319,59.17
60,-1192.5883455374894,356,71.96
61,-1992.7814993438917,299,68.34
62,-2589.3638591602653,304,69.65
63,-2582.4833405561517,272,66.66
64,-1664.011886284778,278,62.26
65,-1983.7375559518932,280,63.97
66,-2807.327073083795,266,52.45
67,-2368.210103014159,297,68.37
68,-2097.8051534970787,302,70.09
69,-2071.794860591313,270,60.63
70,-2056.795183295141,262,58.59
71,-2710.3421013899792,325,75.17
72,-1698.8233166370671,297,72.72
73,-1759.6762017336116,274,63.89
74,-1190.2009559774942,288,66.63
75,-2083.462623587064,282,61.02
76,-2825.662343853531,292,67.18
77,-847.0177407130544,272,59.5
78,-2412.447499106281,378,69.59
79,-1893.005279039708,306,72.94
