,wait
0,0.0
1,0.0
2,0.0
3,0.0
4,1.0
5,3.0
6,2.0
7,1.0
8,7.0
9,3.0
10,4.0
11,4.0
12,4.0
13,8.0
14,5.0
15,6.0
16,6.0
17,4.0
18,7.0
19,11.0
20,13.0
21,7.0
22,10.0
23,14.0
24,11.0
25,16.0
26,14.0
27,17.0
28,15.0
29,13.0
30,15.0
31,15.0
32,20.0
33,18.0
34,23.0
35,17.0
36,21.0
37,19.0
38,18.0
39,20.0
40,20.0
41,21.0
42,23.0
43,20.0
44,27.0
45,26.0
46,28.0
47,24.0
48,20.0
49,31.0
50,27.0
51,26.0
52,26.0
53,34.0
54,19.0
55,28.0
56,34.0
57,22.0
58,25.0
59,33.0
60,21.0
61,30.0
62,26.0
63,19.0
64,32.0
65,30.0
66,26.0
67,19.0
68,36.0
69,25.0
70,28.0
71,18.0
72,26.0
73,31.0
74,25.0
75,18.0
76,34.0
77,27.0
78,26.0
79,25.0
80,36.0
81,25.0
82,18.0
83,21.0
84,21.0
85,15.0
86,31.0
87,22.0
88,17.0
89,22.0
90,24.0
91,15.0
92,30.0
93,19.0
94,28.0
95,24.0
96,14.0
97,20.0
98,28.0
99,24.0
100,20.0
101,28.0
102,13.0
103,22.0
104,15.0
105,26.0
106,13.0
107,15.0
108,13.0
109,22.0
110,20.0
111,14.0
112,15.0
113,18.0
114,13.0
115,24.0
116,19.0
117,18.0
118,20.0
119,12.0
120,15.0
121,26.0
122,19.0
123,14.0
124,12.0
125,16.0
126,28.0
127,14.0
128,14.0
129,21.0
130,15.0
131,28.0
132,29.0
133,14.0
134,17.0
135,31.0
136,17.0
137,20.0
138,15.0
139,17.0
140,16.0
141,24.0
142,26.0
143,16.0
144,25.0
145,28.0
146,27.0
147,18.0
148,17.0
149,27.0
150,29.0
151,28.0
152,17.0
153,27.0
154,29.0
155,22.0
156,17.0
157,22.0
158,29.0
159,22.0
160,25.0
161,18.0
162,22.0
163,26.0
164,20.0
165,23.0
166,22.0
167,24.0
168,20.0
169,23.0
170,23.0
171,20.0
172,22.0
173,24.0
174,18.0
175,22.0
176,22.0
177,20.0
178,19.0
179,25.0
180,19.0
181,21.0
182,21.0
183,19.0
184,21.0
185,25.0
186,21.0
187,26.0
188,19.0
189,16.0
190,19.0
191,26.0
192,20.0
193,22.0
194,16.0
195,25.0
196,22.0
197,19.0
198,25.0
199,22.0
200,20.0
201,16.0
202,24.0
203,21.0
204,23.0
205,20.0
206,20.0
207,21.0
208,20.0
209,21.0
210,21.0
211,21.0
212,21.0
213,23.0
214,23.0
215,21.0
216,23.0
217,18.0
218,22.0
219,18.0
220,21.0
221,24.0
222,17.0
223,23.0
224,24.0
225,21.0
226,15.0
227,15.0
228,21.0
229,23.0
230,26.0
231,14.0
232,23.0
233,22.0
234,30.0
235,25.0
236,28.0
237,15.0
238,21.0
239,24.0
240,31.0
241,18.0
242,24.0
243,30.0
244,22.0
245,18.0
246,20.0
247,25.0
248,19.0
249,29.0
250,21.0
251,25.0
252,19.0
253,30.0
254,20.0
255,25.0
256,21.0
257,17.0
258,24.0
259,29.0
260,24.0
261,17.0
262,29.0
263,24.0
264,22.0
265,17.0
266,22.0
267,17.0
268,21.0
269,22.0
270,20.0
271,17.0
272,22.0
273,29.0
274,22.0
275,16.0
276,35.0
277,21.0
278,13.0
279,30.0
280,20.0
281,13.0
282,22.0
283,24.0
284,20.0
285,12.0
286,20.0
287,23.0
288,21.0
289,12.0
290,21.0
291,19.0
292,11.0
293,20.0
294,20.0
295,11.0
296,19.0
297,20.0
298,21.0
299,12.0
300,19.0
301,11.0
302,20.0
303,21.0
304,20.0
305,19.0
306,18.0
307,14.0
308,16.0
309,19.0
310,18.0
311,18.0
312,13.0
313,20.0
314,14.0
315,12.0
316,17.0
317,15.0
318,15.0
319,21.0
320,13.0
321,16.0
322,21.0
323,18.0
324,15.0
325,19.0
326,21.0
327,16.0
328,13.0
329,22.0
330,18.0
331,14.0
332,17.0
333,22.0
334,18.0
335,19.0
336,17.0
337,24.0
338,17.0
339,16.0
340,18.0
341,17.0
342,16.0
343,19.0
344,17.0
345,22.0
346,18.0
347,24.0
348,18.0
349,18.0
350,24.0
351,17.0
352,17.0
353,18.0
354,18.0
355,24.0
356,18.0
357,21.0
358,17.0
359,17.0
360,22.0
361,20.0
362,22.0
363,17.0
364,20.0
365,22.0
366,18.0
367,20.0
368,17.0
369,22.0
370,16.0
371,19.0
372,23.0
373,21.0
374,17.0
375,22.0
376,19.0
377,17.0
378,19.0
379,19.0
380,18.0
381,17.0
382,18.0
383,20.0
384,22.0
385,18.0
386,19.0
387,18.0
388,19.0
389,17.0
390,16.0
391,20.0
392,17.0
393,17.0
394,20.0
395,16.0
396,18.0
397,21.0
398,21.0
399,21.0
400,20.0
401,15.0
402,21.0
403,15.0
404,21.0
405,21.0
406,16.0
407,14.0
408,14.0
409,16.0
410,21.0
411,21.0
412,17.0
413,15.0
414,18.0
415,18.0
416,16.0
417,17.0
418,21.0
419,16.0
420,18.0
421,17.0
422,16.0
423,27.0
424,18.0
425,16.0
426,27.0
427,16.0
428,17.0
429,20.0
430,27.0
431,16.0
432,17.0
433,24.0
434,16.0
435,17.0
436,14.0
437,16.0
438,24.0
439,16.0
440,14.0
441,20.0
442,20.0
443,15.0
444,26.0
445,21.0
446,16.0
447,16.0
448,21.0
449,22.0
450,17.0
451,22.0
452,16.0
453,16.0
454,16.0
455,23.0
456,15.0
457,27.0
458,16.0
459,17.0
460,26.0
461,16.0
462,20.0
463,26.0
464,16.0
465,21.0
466,20.0
467,18.0
468,22.0
469,18.0
470,21.0
471,19.0
472,21.0
473,17.0
474,22.0
475,21.0
476,20.0
477,22.0
478,17.0
479,22.0
480,17.0
481,18.0
482,17.0
483,18.0
484,20.0
485,16.0
486,20.0
487,21.0
488,23.0
489,15.0
490,21.0
491,23.0
492,16.0
493,16.0
494,20.0
495,17.0
496,20.0
497,16.0
498,17.0
499,24.0
500,18.0
501,25.0
502,19.0
503,18.0
504,16.0
505,25.0
506,16.0
507,18.0
508,24.0
509,22.0
510,16.0
511,24.0
512,15.0
513,18.0
514,18.0
515,17.0
516,15.0
517,21.0
518,18.0
519,17.0
520,22.0
521,22.0
522,17.0
523,21.0
524,24.0
525,22.0
526,21.0
527,22.0
528,23.0
529,20.0
530,19.0
531,21.0
532,25.0
533,20.0
534,20.0
535,18.0
536,25.0
537,19.0
538,20.0
539,17.0
540,20.0
541,20.0
542,19.0
543,20.0
544,16.0
545,20.0
546,20.0
547,20.0
548,17.0
549,18.0
550,20.0
551,16.0
552,20.0
553,18.0
554,19.0
555,18.0
556,18.0
557,23.0
558,16.0
559,18.0
560,27.0
561,16.0
562,25.0
563,13.0
564,19.0
565,16.0
566,14.0
567,18.0
568,16.0
569,14.0
570,18.0
571,27.0
