,wait
0,0.0
1,0.0
2,0.0
3,1.0
4,1.0
5,2.0
6,6.0
7,3.0
8,4.0
9,7.0
10,4.0
11,6.0
12,7.0
13,9.0
14,6.0
15,8.0
16,10.0
17,10.0
18,7.0
19,11.0
20,10.0
21,11.0
22,12.0
23,10.0
24,13.0
25,13.0
26,11.0
27,14.0
28,13.0
29,14.0
30,12.0
31,16.0
32,16.0
33,17.0
34,18.0
35,14.0
36,17.0
37,21.0
38,16.0
39,24.0
40,22.0
41,20.0
42,17.0
43,26.0
44,21.0
45,23.0
46,17.0
47,29.0
48,22.0
49,22.0
50,18.0
51,28.0
52,23.0
53,20.0
54,18.0
55,29.0
56,21.0
57,17.0
58,21.0
59,30.0
60,20.0
61,22.0
62,17.0
63,19.0
64,23.0
65,27.0
66,17.0
67,19.0
68,23.0
69,24.0
70,16.0
71,19.0
72,25.0
73,22.0
74,16.0
75,20.0
76,27.0
77,20.0
78,17.0
79,20.0
80,21.0
81,27.0
82,18.0
83,16.0
84,26.0
85,20.0
86,16.0
87,18.0
88,26.0
89,17.0
90,22.0
91,16.0
92,21.0
93,16.0
94,22.0
95,16.0
96,20.0
97,16.0
98,21.0
99,16.0
100,20.0
101,20.0
102,16.0
103,16.0
104,20.0
105,19.0
106,16.0
107,15.0
108,19.0
109,19.0
110,15.0
111,19.0
112,18.0
113,15.0
114,20.0
115,18.0
116,19.0
117,15.0
118,18.0
119,22.0
120,19.0
121,18.0
122,16.0
123,23.0
124,18.0
125,16.0
126,18.0
127,15.0
128,22.0
129,17.0
130,15.0
131,19.0
132,23.0
133,18.0
134,15.0
135,19.0
136,21.0
137,14.0
138,18.0
139,20.0
140,21.0
141,13.0
142,17.0
143,21.0
144,12.0
145,21.0
146,17.0
147,21.0
148,23.0
149,13.0
150,20.0
151,19.0
152,23.0
153,14.0
154,22.0
155,19.0
156,22.0
157,16.0
158,16.0
159,23.0
160,15.0
161,23.0
162,16.0
163,25.0
164,15.0
165,24.0
166,17.0
167,21.0
168,15.0
169,16.0
170,23.0
171,16.0
172,22.0
173,16.0
174,16.0
175,23.0
176,22.0
177,17.0
178,21.0
179,16.0
180,22.0
181,16.0
182,17.0
183,21.0
184,22.0
185,16.0
186,17.0
187,21.0
188,16.0
189,21.0
190,21.0
191,17.0
192,15.0
193,20.0
194,17.0
195,14.0
196,20.0
197,22.0
198,14.0
199,19.0
200,20.0
201,21.0
202,21.0
203,17.0
204,16.0
205,21.0
206,21.0
207,19.0
208,20.0
209,19.0
210,19.0
211,19.0
212,19.0
213,22.0
214,21.0
215,18.0
216,20.0
217,22.0
218,19.0
219,19.0
220,19.0
221,23.0
222,19.0
223,19.0
224,19.0
225,23.0
226,21.0
227,18.0
228,19.0
229,21.0
230,19.0
231,19.0
232,21.0
233,23.0
234,18.0
235,20.0
236,22.0
237,22.0
238,21.0
239,17.0
240,20.0
241,22.0
242,24.0
243,18.0
244,21.0
245,22.0
246,23.0
247,18.0
248,21.0
249,18.0
250,22.0
251,15.0
252,21.0
253,16.0
254,14.0
255,24.0
256,21.0
257,18.0
258,15.0
259,21.0
260,17.0
261,30.0
262,14.0
263,19.0
264,17.0
265,28.0
266,14.0
267,17.0
268,18.0
269,29.0
270,20.0
271,18.0
272,27.0
273,18.0
274,22.0
275,18.0
276,25.0
277,18.0
278,19.0
279,21.0
280,25.0
281,18.0
282,19.0
283,21.0
284,18.0
285,24.0
286,20.0
287,20.0
288,18.0
289,23.0
290,20.0
291,23.0
292,20.0
293,20.0
294,17.0
295,24.0
296,20.0
297,18.0
298,20.0
299,23.0
300,19.0
301,20.0
302,19.0
303,19.0
304,22.0
305,18.0
306,18.0
307,22.0
308,17.0
309,19.0
310,17.0
311,17.0
312,18.0
313,15.0
314,27.0
315,16.0
316,18.0
317,16.0
318,27.0
319,16.0
320,14.0
321,17.0
322,27.0
323,17.0
324,14.0
325,18.0
326,21.0
327,16.0
328,15.0
329,16.0
330,20.0
331,16.0
332,15.0
333,16.0
334,16.0
335,21.0
336,15.0
337,21.0
338,16.0
339,21.0
340,14.0
341,16.0
342,16.0
343,15.0
344,18.0
345,21.0
346,17.0
347,16.0
348,19.0
349,17.0
350,24.0
351,16.0
352,18.0
353,18.0
354,15.0
355,17.0
356,23.0
357,22.0
358,15.0
359,19.0
360,18.0
361,15.0
362,16.0
363,18.0
364,17.0
365,19.0
366,16.0
367,19.0
368,17.0
369,19.0
370,15.0
371,18.0
372,17.0
373,19.0
374,17.0
375,15.0
376,19.0
377,19.0
378,16.0
379,16.0
380,20.0
381,16.0
382,22.0
383,20.0
384,17.0
385,20.0
386,18.0
387,17.0
388,17.0
389,21.0
390,16.0
391,20.0
392,20.0
393,19.0
394,18.0
395,15.0
396,22.0
397,15.0
398,22.0
399,19.0
400,21.0
401,18.0
402,22.0
403,15.0
404,21.0
405,17.0
406,23.0
407,22.0
408,18.0
409,16.0
410,23.0
411,20.0
412,18.0
413,16.0
414,23.0
415,18.0
416,21.0
417,16.0
418,22.0
419,20.0
420,18.0
421,15.0
422,23.0
423,18.0
424,19.0
425,23.0
426,18.0
427,18.0
428,23.0
429,19.0
430,21.0
431,17.0
432,19.0
433,20.0
434,20.0
435,17.0
436,20.0
437,17.0
438,17.0
439,20.0
440,18.0
441,17.0
442,17.0
443,17.0
444,19.0
445,12.0
446,17.0
447,19.0
448,19.0
449,12.0
450,19.0
451,18.0
452,13.0
453,19.0
454,17.0
455,20.0
456,18.0
457,13.0
458,15.0
459,18.0
460,20.0
461,14.0
462,15.0
463,18.0
464,14.0
465,17.0
466,22.0
467,18.0
468,17.0
469,16.0
470,22.0
471,19.0
472,16.0
473,17.0
474,23.0
475,19.0
476,16.0
477,19.0
478,16.0
479,25.0
480,18.0
481,19.0
482,21.0
483,16.0
484,19.0
485,21.0
486,20.0
487,16.0
488,18.0
489,20.0
490,22.0
491,18.0
492,18.0
493,20.0
494,21.0
495,16.0
496,20.0
497,18.0
498,17.0
499,21.0
500,19.0
501,21.0
502,17.0
503,18.0
504,21.0
505,18.0
506,15.0
507,23.0
508,17.0
509,18.0
510,15.0
511,22.0
512,17.0
513,19.0
514,15.0
515,21.0
516,17.0
517,20.0
518,14.0
519,16.0
520,14.0
521,21.0
522,21.0
523,13.0
524,16.0
525,21.0
526,16.0
527,20.0
528,13.0
529,21.0
530,16.0
531,13.0
532,21.0
533,20.0
534,15.0
535,21.0
536,15.0
537,19.0
538,21.0
539,17.0
540,19.0
541,18.0
542,15.0
543,21.0
544,18.0
545,20.0
546,21.0
547,19.0
548,16.0
549,20.0
550,16.0
551,21.0
552,19.0
553,18.0
554,15.0
555,22.0
556,19.0
557,18.0
558,15.0
559,17.0
560,25.0
561,18.0
562,17.0
563,16.0
564,25.0
565,19.0
566,16.0
567,16.0
568,26.0
569,15.0
570,20.0
571,17.0
