,wait
0,0.0
1,0.0
2,0.0
3,0.0
4,1.0
5,3.0
6,2.0
7,4.0
8,2.0
9,4.0
10,3.0
11,5.0
12,4.0
13,5.0
14,7.0
15,6.0
16,5.0
17,6.0
18,9.0
19,7.0
20,9.0
21,7.0
22,9.0
23,10.0
24,11.0
25,8.0
26,11.0
27,16.0
28,9.0
29,14.0
30,12.0
31,10.0
32,15.0
33,17.0
34,13.0
35,11.0
36,16.0
37,19.0
38,14.0
39,12.0
40,17.0
41,15.0
42,21.0
43,13.0
44,23.0
45,19.0
46,17.0
47,12.0
48,15.0
49,25.0
50,21.0
51,13.0
52,23.0
53,15.0
54,12.0
55,19.0
56,15.0
57,23.0
58,12.0
59,20.0
60,23.0
61,14.0
62,12.0
63,22.0
64,13.0
65,12.0
66,22.0
67,14.0
68,24.0
69,15.0
70,14.0
71,24.0
72,21.0
73,14.0
74,14.0
75,24.0
76,14.0
77,20.0
78,24.0
79,14.0
80,20.0
81,14.0
82,14.0
83,19.0
84,15.0
85,14.0
86,21.0
87,19.0
88,14.0
89,16.0
90,21.0
91,18.0
92,16.0
93,18.0
94,14.0
95,21.0
96,16.0
97,19.0
98,22.0
99,17.0
100,19.0
101,16.0
102,21.0
103,19.0
104,17.0
105,18.0
106,16.0
107,22.0
108,16.0
109,18.0
110,16.0
111,20.0
112,15.0
113,16.0
114,16.0
115,19.0
116,16.0
117,14.0
118,16.0
119,18.0
120,14.0
121,17.0
122,19.0
123,17.0
124,14.0
125,17.0
126,17.0
127,20.0
128,15.0
129,16.0
130,18.0
131,15.0
132,22.0
133,15.0
134,15.0
135,18.0
136,15.0
137,21.0
138,19.0
139,14.0
140,20.0
141,16.0
142,12.0
143,19.0
144,18.0
145,17.0
146,12.0
147,19.0
148,18.0
149,17.0
150,19.0
151,17.0
152,14.0
153,20.0
154,17.0
155,17.0
156,14.0
157,17.0
158,14.0
159,21.0
160,19.0
161,16.0
162,14.0
163,21.0
164,20.0
165,22.0
166,20.0
167,19.0
168,18.0
169,23.0
170,19.0
171,17.0
172,20.0
173,21.0
174,17.0
175,21.0
176,17.0
177,21.0
178,17.0
179,18.0
180,21.0
181,18.0
182,17.0
183,22.0
184,19.0
185,18.0
186,20.0
187,19.0
188,21.0
189,19.0
190,22.0
191,19.0
192,22.0
193,24.0
194,21.0
195,19.0
196,23.0
197,22.0
198,19.0
199,22.0
200,22.0
201,18.0
202,21.0
203,21.0
204,21.0
205,22.0
206,20.0
207,16.0
208,23.0
209,23.0
210,20.0
211,17.0
212,23.0
213,17.0
214,25.0
215,21.0
216,16.0
217,25.0
218,22.0
219,22.0
220,21.0
221,16.0
222,22.0
223,20.0
224,16.0
225,21.0
226,24.0
227,16.0
228,21.0
229,23.0
230,16.0
231,21.0
232,24.0
233,22.0
234,20.0
235,21.0
236,16.0
237,25.0
238,17.0
239,20.0
240,22.0
241,26.0
242,20.0
243,17.0
244,21.0
245,23.0
246,18.0
247,21.0
248,19.0
249,24.0
250,17.0
251,20.0
252,19.0
253,24.0
254,18.0
255,18.0
256,24.0
257,20.0
258,18.0
259,17.0
260,20.0
261,22.0
262,15.0
263,19.0
264,19.0
265,23.0
266,19.0
267,19.0
268,16.0
269,23.0
270,20.0
271,17.0
272,19.0
273,20.0
274,17.0
275,19.0
276,22.0
277,19.0
278,22.0
279,15.0
280,18.0
281,21.0
282,19.0
283,16.0
284,18.0
285,20.0
286,19.0
287,15.0
288,17.0
289,19.0
290,15.0
291,21.0
292,17.0
293,20.0
294,17.0
295,14.0
296,20.0
297,18.0
298,19.0
299,15.0
300,21.0
301,18.0
302,15.0
303,18.0
304,18.0
305,22.0
306,16.0
307,17.0
308,20.0
309,17.0
310,23.0
311,16.0
312,22.0
313,15.0
314,23.0
315,17.0
316,15.0
317,23.0
318,23.0
319,18.0
320,17.0
321,23.0
322,25.0
323,17.0
324,17.0
325,27.0
326,18.0
327,25.0
328,17.0
329,25.0
330,28.0
331,20.0
332,16.0
333,27.0
334,26.0
335,16.0
336,20.0
337,25.0
338,26.0
339,21.0
340,16.0
341,24.0
342,26.0
343,17.0
344,24.0
345,22.0
346,21.0
347,17.0
348,22.0
349,21.0
350,23.0
351,17.0
352,22.0
353,21.0
354,20.0
355,17.0
356,20.0
357,28.0
358,19.0
359,19.0
360,27.0
361,22.0
362,19.0
363,19.0
364,23.0
365,25.0
366,16.0
367,19.0
368,23.0
369,25.0
370,15.0
371,18.0
372,24.0
373,22.0
374,16.0
375,23.0
376,21.0
377,21.0
378,22.0
379,17.0
380,19.0
381,18.0
382,22.0
383,24.0
384,18.0
385,22.0
386,18.0
387,25.0
388,22.0
389,18.0
390,25.0
391,18.0
392,22.0
393,18.0
394,19.0
395,26.0
396,18.0
397,19.0
398,22.0
399,18.0
400,28.0
401,23.0
402,18.0
403,22.0
404,29.0
405,21.0
406,20.0
407,15.0
408,28.0
409,21.0
410,20.0
411,17.0
412,30.0
413,18.0
414,21.0
415,17.0
416,30.0
417,18.0
418,16.0
419,18.0
420,22.0
421,29.0
422,18.0
423,17.0
424,22.0
425,29.0
426,16.0
427,16.0
428,30.0
429,22.0
430,16.0
431,22.0
432,18.0
433,26.0
434,19.0
435,16.0
436,22.0
437,24.0
438,21.0
439,20.0
440,22.0
441,18.0
442,18.0
443,21.0
444,21.0
445,18.0
446,15.0
447,17.0
448,21.0
449,15.0
450,18.0
451,18.0
452,22.0
453,17.0
454,16.0
455,16.0
456,17.0
457,18.0
458,16.0
459,17.0
460,17.0
461,16.0
462,17.0
463,17.0
464,17.0
465,15.0
466,18.0
467,17.0
468,16.0
469,18.0
470,16.0
471,18.0
472,16.0
473,16.0
474,17.0
475,17.0
476,17.0
477,18.0
478,16.0
479,16.0
480,17.0
481,17.0
482,16.0
483,18.0
484,13.0
485,17.0
486,19.0
487,18.0
488,16.0
489,19.0
490,13.0
491,18.0
492,19.0
493,15.0
494,18.0
495,20.0
496,20.0
497,24.0
498,17.0
499,17.0
500,20.0
501,20.0
502,22.0
503,20.0
504,20.0
505,18.0
506,23.0
507,19.0
508,20.0
509,19.0
510,18.0
511,20.0
512,23.0
513,19.0
514,19.0
515,18.0
516,23.0
517,18.0
518,18.0
519,20.0
520,26.0
521,18.0
522,17.0
523,18.0
524,22.0
525,25.0
526,17.0
527,19.0
528,25.0
529,21.0
530,17.0
531,19.0
532,24.0
533,21.0
534,17.0
535,19.0
536,24.0
537,18.0
538,19.0
539,27.0
540,15.0
541,28.0
542,16.0
543,15.0
544,26.0
545,26.0
546,16.0
547,27.0
548,14.0
549,25.0
550,14.0
551,18.0
552,23.0
553,23.0
554,15.0
555,19.0
556,23.0
557,24.0
558,15.0
559,19.0
560,24.0
561,24.0
562,18.0
563,24.0
564,17.0
565,18.0
566,22.0
567,24.0
568,17.0
569,22.0
570,19.0
571,23.0
