,wait
0,0.0
1,0.0
2,0.0
3,1.0
4,0.0
5,1.0
6,2.0
7,2.0
8,4.0
9,2.0
10,4.0
11,3.0
12,6.0
13,5.0
14,5.0
15,5.0
16,6.0
17,9.0
18,8.0
19,6.0
20,8.0
21,7.0
22,11.0
23,11.0
24,8.0
25,12.0
26,10.0
27,9.0
28,14.0
29,14.0
30,13.0
31,20.0
32,12.0
33,14.0
34,16.0
35,10.0
36,19.0
37,15.0
38,14.0
39,16.0
40,15.0
41,19.0
42,21.0
43,17.0
44,21.0
45,22.0
46,15.0
47,22.0
48,20.0
49,18.0
50,23.0
51,22.0
52,20.0
53,19.0
54,21.0
55,20.0
56,19.0
57,22.0
58,18.0
59,30.0
60,20.0
61,17.0
62,23.0
63,23.0
64,29.0
65,21.0
66,17.0
67,23.0
68,32.0
69,27.0
70,21.0
71,17.0
72,22.0
73,24.0
74,17.0
75,22.0
76,21.0
77,24.0
78,18.0
79,18.0
80,22.0
81,17.0
82,28.0
83,21.0
84,22.0
85,18.0
86,22.0
87,21.0
88,27.0
89,24.0
90,19.0
91,28.0
92,19.0
93,18.0
94,17.0
95,19.0
96,19.0
97,17.0
98,28.0
99,20.0
100,30.0
101,20.0
102,31.0
103,22.0
104,20.0
105,17.0
106,28.0
107,25.0
108,15.0
109,19.0
110,15.0
111,20.0
112,25.0
113,25.0
114,21.0
115,21.0
116,16.0
117,21.0
118,16.0
119,25.0
120,25.0
121,21.0
122,16.0
123,25.0
124,20.0
125,28.0
126,25.0
127,14.0
128,16.0
129,31.0
130,24.0
131,19.0
132,15.0
133,28.0
134,22.0
135,25.0
136,29.0
137,22.0
138,28.0
139,15.0
140,28.0
141,20.0
142,25.0
143,23.0
144,15.0
145,19.0
146,24.0
147,20.0
148,24.0
149,17.0
150,16.0
151,23.0
152,22.0
153,16.0
154,18.0
155,25.0
156,22.0
157,22.0
158,19.0
159,23.0
160,15.0
161,22.0
162,18.0
163,15.0
164,22.0
165,15.0
166,21.0
167,18.0
168,19.0
169,16.0
170,15.0
171,21.0
172,19.0
173,15.0
174,19.0
175,18.0
176,21.0
177,14.0
178,18.0
179,18.0
180,18.0
181,14.0
182,14.0
183,18.0
184,21.0
185,21.0
186,17.0
187,22.0
188,13.0
189,18.0
190,21.0
191,22.0
192,19.0
193,20.0
194,18.0
195,15.0
196,14.0
197,19.0
198,14.0
199,19.0
200,25.0
201,14.0
202,20.0
203,14.0
204,20.0
205,23.0
206,20.0
207,25.0
208,21.0
209,25.0
210,14.0
211,19.0
212,21.0
213,16.0
214,25.0
215,21.0
216,20.0
217,16.0
218,18.0
219,21.0
220,18.0
221,24.0
222,17.0
223,18.0
224,26.0
225,22.0
226,21.0
227,18.0
228,24.0
229,17.0
230,26.0
231,15.0
232,24.0
233,26.0
234,15.0
235,17.0
236,18.0
237,24.0
238,24.0
239,22.0
240,16.0
241,22.0
242,22.0
243,21.0
244,22.0
245,22.0
246,19.0
247,18.0
248,17.0
249,19.0
250,20.0
251,17.0
252,18.0
253,20.0
254,17.0
255,15.0
256,17.0
257,18.0
258,19.0
259,20.0
260,19.0
261,15.0
262,20.0
263,19.0
264,20.0
265,19.0
266,18.0
267,17.0
268,17.0
269,16.0
270,16.0
271,17.0
272,19.0
273,19.0
274,14.0
275,17.0
276,16.0
277,17.0
278,19.0
279,17.0
280,16.0
281,14.0
282,17.0
283,17.0
284,17.0
285,16.0
286,15.0
287,17.0
288,16.0
289,19.0
290,14.0
291,14.0
292,18.0
293,17.0
294,18.0
295,14.0
296,18.0
297,18.0
298,16.0
299,17.0
300,15.0
301,18.0
302,15.0
303,18.0
304,19.0
305,19.0
306,18.0
307,15.0
308,18.0
309,19.0
310,16.0
311,18.0
312,15.0
313,18.0
314,21.0
315,20.0
316,16.0
317,18.0
318,18.0
319,19.0
320,16.0
321,17.0
322,20.0
323,15.0
324,19.0
325,15.0
326,20.0
327,21.0
328,20.0
329,15.0
330,20.0
331,19.0
332,21.0
333,15.0
334,20.0
335,18.0
336,13.0
337,19.0
338,17.0
339,13.0
340,17.0
341,18.0
342,13.0
343,22.0
344,17.0
345,19.0
346,12.0
347,17.0
348,13.0
349,23.0
350,17.0
351,13.0
352,24.0
353,16.0
354,18.0
355,13.0
356,15.0
357,16.0
358,23.0
359,22.0
360,14.0
361,24.0
362,17.0
363,24.0
364,12.0
365,14.0
366,13.0
367,13.0
368,16.0
369,14.0
370,18.0
371,19.0
372,13.0
373,17.0
374,19.0
375,17.0
376,16.0
377,17.0
378,19.0
379,15.0
380,16.0
381,20.0
382,21.0
383,17.0
384,20.0
385,23.0
386,16.0
387,18.0
388,18.0
389,16.0
390,17.0
391,18.0
392,22.0
393,16.0
394,15.0
395,15.0
396,21.0
397,22.0
398,18.0
399,15.0
400,16.0
401,15.0
402,14.0
403,22.0
404,14.0
405,24.0
406,14.0
407,25.0
408,13.0
409,13.0
410,22.0
411,26.0
412,14.0
413,25.0
414,13.0
415,14.0
416,12.0
417,27.0
418,13.0
419,24.0
420,14.0
421,11.0
422,25.0
423,26.0
424,15.0
425,24.0
426,23.0
427,13.0
428,12.0
429,13.0
430,19.0
431,16.0
432,22.0
433,19.0
434,22.0
435,13.0
436,12.0
437,16.0
438,13.0
439,15.0
440,22.0
441,15.0
442,23.0
443,16.0
444,15.0
445,15.0
446,17.0
447,19.0
448,14.0
449,15.0
450,20.0
451,16.0
452,16.0
453,18.0
454,15.0
455,18.0
456,20.0
457,16.0
458,20.0
459,16.0
460,14.0
461,20.0
462,16.0
463,17.0
464,20.0
465,17.0
466,15.0
467,15.0
468,19.0
469,17.0
470,15.0
471,19.0
472,21.0
473,20.0
474,17.0
475,18.0
476,21.0
477,19.0
478,14.0
479,23.0
480,18.0
481,15.0
482,22.0
483,23.0
484,16.0
485,22.0
486,19.0
487,16.0
488,24.0
489,24.0
490,19.0
491,16.0
492,18.0
493,26.0
494,25.0
495,15.0
496,18.0
497,22.0
498,25.0
499,18.0
500,21.0
501,16.0
502,19.0
503,21.0
504,17.0
505,21.0
506,23.0
507,24.0
508,22.0
509,26.0
510,22.0
511,24.0
512,32.0
513,21.0
514,30.0
515,19.0
516,24.0
517,25.0
518,25.0
519,25.0
520,19.0
521,27.0
522,24.0
523,19.0
524,25.0
525,23.0
526,19.0
527,23.0
528,22.0
529,32.0
530,19.0
531,26.0
532,26.0
533,25.0
534,20.0
535,27.0
536,23.0
537,26.0
538,22.0
539,25.0
540,23.0
541,30.0
542,20.0
543,23.0
544,24.0
545,31.0
546,23.0
547,19.0
548,22.0
549,32.0
550,21.0
551,18.0
552,22.0
553,18.0
554,32.0
555,22.0
556,19.0
557,16.0
558,26.0
559,19.0
560,22.0
561,16.0
562,22.0
563,19.0
564,27.0
565,23.0
566,28.0
567,17.0
568,18.0
569,22.0
570,15.0
571,15.0
