,wait
0,0.0
1,0.0
2,0.0
3,1.0
4,1.0
5,5.0
6,2.0
7,3.0
8,1.0
9,3.0
10,6.0
11,7.0
12,8.0
13,4.0
14,9.0
15,12.0
16,6.0
17,9.0
18,15.0
19,8.0
20,15.0
21,9.0
22,14.0
23,16.0
24,21.0
25,17.0
26,10.0
27,19.0
28,23.0
29,22.0
30,14.0
31,21.0
32,23.0
33,25.0
34,15.0
35,26.0
36,28.0
37,18.0
38,25.0
39,32.0
40,31.0
41,19.0
42,28.0
43,33.0
44,20.0
45,32.0
46,20.0
47,39.0
48,34.0
49,41.0
50,28.0
51,36.0
52,25.0
53,43.0
54,20.0
55,41.0
56,24.0
57,41.0
58,27.0
59,42.0
60,42.0
61,26.0
62,41.0
63,26.0
64,26.0
65,41.0
66,26.0
67,40.0
68,38.0
69,34.0
70,23.0
71,37.0
72,35.0
73,32.0
74,24.0
75,35.0
76,32.0
77,24.0
78,42.0
79,33.0
80,31.0
81,41.0
82,26.0
83,24.0
84,32.0
85,42.0
86,27.0
87,23.0
88,24.0
89,25.0
90,40.0
91,25.0
92,26.0
93,26.0
94,41.0
95,27.0
96,24.0
97,26.0
98,20.0
99,39.0
100,27.0
101,25.0
102,25.0
103,23.0
104,25.0
105,19.0
106,23.0
107,34.0
108,23.0
109,25.0
110,19.0
111,37.0
112,25.0
113,24.0
114,24.0
115,20.0
116,40.0
117,23.0
118,24.0
119,38.0
120,22.0
121,21.0
122,37.0
123,25.0
124,23.0
125,26.0
126,31.0
127,22.0
128,29.0
129,27.0
130,21.0
131,27.0
132,30.0
133,27.0
134,20.0
135,27.0
136,30.0
137,28.0
138,19.0
139,30.0
140,26.0
141,27.0
142,18.0
143,26.0
144,18.0
145,24.0
146,32.0
147,30.0
148,16.0
149,18.0
150,32.0
151,17.0
152,16.0
153,32.0
154,35.0
155,16.0
156,39.0
157,17.0
158,32.0
159,22.0
160,14.0
161,37.0
162,20.0
163,31.0
164,20.0
165,40.0
166,15.0
167,31.0
168,19.0
169,27.0
170,19.0
171,42.0
172,20.0
173,27.0
174,20.0
175,44.0
176,19.0
177,19.0
178,27.0
179,41.0
180,20.0
181,21.0
182,19.0
183,29.0
184,42.0
185,23.0
186,19.0
187,32.0
188,38.0
189,20.0
190,38.0
191,31.0
192,21.0
193,28.0
194,31.0
195,38.0
196,21.0
197,30.0
198,33.0
199,30.0
200,22.0
201,29.0
202,28.0
203,22.0
204,25.0
205,17.0
206,30.0
207,34.0
208,27.0
209,30.0
210,29.0
211,16.0
212,33.0
213,29.0
214,28.0
215,17.0
216,27.0
217,34.0
218,17.0
219,27.0
220,17.0
221,37.0
222,24.0
223,17.0
224,28.0
225,16.0
226,36.0
227,22.0
228,39.0
229,40.0
230,37.0
231,15.0
232,24.0
233,36.0
234,27.0
235,36.0
236,20.0
237,25.0
238,33.0
239,21.0
240,23.0
241,37.0
242,32.0
243,40.0
244,21.0
245,31.0
246,21.0
247,22.0
248,33.0
249,30.0
250,23.0
251,39.0
252,32.0
253,22.0
254,45.0
255,32.0
256,23.0
257,32.0
258,33.0
259,41.0
260,33.0
261,32.0
262,24.0
263,39.0
264,25.0
265,34.0
266,39.0
267,22.0
268,26.0
269,33.0
270,35.0
271,19.0
272,25.0
273,41.0
274,35.0
275,20.0
276,26.0
277,41.0
278,32.0
279,21.0
280,27.0
281,21.0
282,41.0
283,32.0
284,17.0
285,40.0
286,32.0
287,16.0
288,28.0
289,39.0
290,16.0
291,29.0
292,32.0
293,37.0
294,15.0
295,30.0
296,30.0
297,15.0
298,21.0
299,31.0
300,30.0
301,23.0
302,13.0
303,31.0
304,16.0
305,21.0
306,34.0
307,16.0
308,30.0
309,21.0
310,15.0
311,32.0
312,33.0
313,21.0
314,16.0
315,37.0
316,23.0
317,29.0
318,22.0
319,18.0
320,41.0
321,30.0
322,25.0
323,20.0
324,31.0
325,20.0
326,22.0
327,30.0
328,30.0
329,22.0
330,30.0
331,21.0
332,20.0
333,26.0
334,39.0
335,21.0
336,23.0
337,45.0
338,22.0
339,26.0
340,43.0
341,23.0
342,22.0
343,33.0
344,21.0
345,43.0
346,21.0
347,22.0
348,21.0
349,33.0
350,43.0
351,19.0
352,34.0
353,46.0
354,22.0
355,34.0
356,19.0
357,20.0
358,34.0
359,18.0
360,26.0
361,40.0
362,35.0
363,28.0
364,34.0
365,45.0
366,41.0
367,19.0
368,29.0
369,34.0
370,39.0
371,22.0
372,25.0
373,22.0
374,25.0
375,33.0
376,22.0
377,25.0
378,36.0
379,40.0
380,25.0
381,31.0
382,24.0
383,25.0
384,37.0
385,26.0
386,24.0
387,34.0
388,29.0
389,27.0
390,28.0
391,33.0
392,26.0
393,34.0
394,27.0
395,33.0
396,28.0
397,21.0
398,38.0
399,34.0
400,19.0
401,28.0
402,36.0
403,20.0
404,28.0
405,39.0
406,34.0
407,27.0
408,40.0
409,20.0
410,28.0
411,43.0
412,33.0
413,35.0
414,24.0
415,27.0
416,34.0
417,35.0
418,25.0
419,28.0
420,36.0
421,35.0
422,26.0
423,26.0
424,39.0
425,28.0
426,38.0
427,27.0
428,39.0
429,34.0
430,29.0
431,36.0
432,28.0
433,28.0
434,33.0
435,26.0
436,28.0
437,32.0
438,32.0
439,29.0
440,27.0
441,26.0
442,35.0
443,28.0
444,28.0
445,30.0
446,29.0
447,23.0
448,37.0
449,31.0
450,23.0
451,42.0
452,31.0
453,24.0
454,34.0
455,28.0
456,39.0
457,25.0
458,34.0
459,27.0
460,26.0
461,41.0
462,33.0
463,26.0
464,23.0
465,32.0
466,24.0
467,38.0
468,32.0
469,20.0
470,25.0
471,41.0
472,22.0
473,25.0
474,30.0
475,25.0
476,23.0
477,32.0
478,22.0
479,42.0
480,22.0
481,45.0
482,32.0
483,28.0
484,22.0
485,45.0
486,28.0
487,19.0
488,32.0
489,40.0
490,33.0
491,19.0
492,30.0
493,28.0
494,39.0
495,20.0
496,38.0
497,30.0
498,19.0
499,37.0
500,34.0
501,22.0
502,28.0
503,36.0
504,28.0
505,21.0
506,34.0
507,38.0
508,19.0
509,32.0
510,27.0
511,40.0
512,28.0
513,28.0
514,39.0
515,19.0
516,25.0
517,28.0
518,20.0
519,26.0
520,41.0
521,25.0
522,26.0
523,28.0
524,21.0
525,42.0
526,26.0
527,47.0
528,25.0
529,26.0
530,22.0
531,25.0
532,26.0
533,45.0
534,30.0
535,26.0
536,25.0
537,29.0
538,49.0
539,26.0
540,28.0
541,24.0
542,28.0
543,27.0
544,48.0
545,25.0
546,32.0
547,24.0
548,47.0
549,25.0
550,33.0
551,29.0
552,29.0
553,34.0
554,29.0
555,45.0
556,29.0
557,25.0
558,50.0
559,32.0
560,25.0
561,38.0
562,41.0
563,26.0
564,33.0
565,36.0
566,26.0
567,40.0
568,43.0
569,33.0
570,25.0
571,36.0
