,Rewards,Steps,WaitTime
0,-397.5683043250347,160,10.33
1,-199.83036272962718,157,11.6
2,3.484608917789333,156,10.28
3,1.619270537579126,146,10.7
4,1.3765051266305475,167,11.53
5,3.2496588169723277,141,9.91
6,-197.77225518420036,139,10.25
7,-98.8660592366617,171,10.73
8,-97.59292250715042,137,10.75
9,-296.6650764429569,156,10.2
10,1.9097818430795255,153,10.92
11,-97.94885180432252,140,10.44
12,-200.22803242865496,163,11.77
13,3.5495840668727228,146,9.94
14,-200.79223995363827,148,11.68
15,-198.49080471845463,161,10.9
16,-197.64795401841758,143,10.32
17,-95.34040209123917,139,9.53
18,-97.67794162182348,140,10.27
19,-195.92695261691426,152,9.6
20,-196.33471373152085,144,10.0
21,-197.90548170361438,140,10.66
22,-96.83822628084337,149,10.39
23,-97.26095574408758,136,10.31
24,4.167242328290177,130,9.49
25,-297.5499780645794,163,10.41
26,2.49570904790932,146,10.95
27,0.5068980538914555,154,11.63
28,-97.53259287833232,159,10.09
29,-98.15903806068282,141,10.74
30,-296.67651857895476,152,9.6
31,1.3292205150293168,165,11.78
32,-96.12099040614221,141,9.66
33,-199.8907702922228,137,11.27
34,-96.47796761827126,143,9.95
35,-97.1030700689048,152,10.05
36,3.3477584084693945,142,9.81
37,-97.14599838431906,153,9.97
38,4.562142271052855,137,9.57
39,-296.88727612251137,137,10.1
40,-199.80517980199892,149,10.84
41,-196.3776575052334,163,9.71
42,-197.2996852383286,132,10.33
43,-297.1426082817296,142,10.26
44,0.688232257176496,156,12.17
45,-97.602221213493,147,10.39
46,-497.4415993451613,166,10.6
47,1.8679193965049807,145,10.56
48,2.282305064128498,149,10.72
49,-199.55688927478172,137,11.21
50,-298.2112112978578,139,10.69
51,2.5496099047620913,143,10.64
52,-396.19594422334535,131,9.66
53,2.532263814078444,145,10.42
54,-200.77992234709313,152,10.99
55,-98.32811884869962,140,10.68
56,-22.610439017270647,431,115.08
57,1.8561140293519194,149,11.01
58,-98.35693665173736,139,10.66
59,-98.07251670614059,152,10.41
60,-296.8819185282409,149,10.11
61,-398.89308953620144,159,11.0
62,-97.71231111930301,155,10.62
63,3.59170610424935,148,9.71
64,-296.1000646767993,131,9.82
65,2.883960439760251,148,10.41
66,-197.29903616900887,162,9.81
67,-0.8081449978590498,148,12.5
68,4.256758280008014,151,9.73
69,2.8688285270736373,147,10.38
70,-298.1565908183663,138,10.96
71,-97.76856092800284,129,10.37
72,-200.34064740687657,145,11.67
73,0.34697489551060134,148,11.87
74,-97.2670447343048,176,10.28
75,2.4081145375026254,159,11.2
76,-2.415169609905107,143,12.54
77,1.7507304549009015,151,11.03
78,4.336542438427588,148,9.7
79,-100.51797205946858,140,12.03
80,-197.6792884771385,148,10.35
81,-197.31397476303079,142,10.16
82,-198.42082780413133,152,10.73
83,-498.421988489514,153,10.32
84,-96.99555779749895,158,9.91
85,-197.33554683483348,148,10.86
