,ego,pro
0,1.0,1.0
1,2.0,2.0
2,1.0,8.0
3,1.0,4.0
4,1.0,2.0
5,3.0,6.0
6,3.0,4.0
7,2.0,7.0
8,4.0,4.0
9,2.0,6.0
10,2.0,9.0
11,5.0,12.0
12,3.0,14.0
13,3.0,23.0
14,5.0,16.0
15,4.0,16.0
16,4.0,18.0
17,4.0,21.0
18,6.0,20.0
19,5.0,31.0
20,5.0,22.0
21,6.0,33.0
22,6.0,26.0
23,6.0,28.0
24,7.0,40.0
25,8.0,42.0
26,8.0,41.0
27,8.0,43.0
28,9.0,45.0
29,10.0,44.0
30,10.0,54.0
31,10.0,47.0
32,11.0,46.0
33,12.0,56.0
34,13.0,66.0
35,14.0,67.0
36,15.0,58.0
37,16.0,69.0
38,20.0,69.0
39,17.0,55.0
40,18.0,71.0
41,22.0,54.0
42,18.0,66.0
43,19.0,76.0
44,24.0,78.0
45,22.0,67.0
46,19.0,80.0
47,20.0,83.0
48,26.0,87.0
49,20.0,68.0
50,21.0,90.0
51,27.0,87.0
52,39.0,93.0
53,21.0,86.0
54,28.0,68.0
55,30.0,92.0
56,41.0,90.0
57,22.0,68.0
58,23.0,94.0
59,23.0,51.0
60,29.0,86.0
61,43.0,51.0
62,23.0,101.0
63,24.0,79.0
64,45.0,105.0
65,23.0,83.0
66,31.0,79.0
67,46.0,78.0
68,24.0,109.0
69,24.0,114.0
70,32.0,109.0
71,24.0,99.0
72,33.0,64.0
73,24.0,58.0
74,33.0,109.0
75,24.0,62.0
76,25.0,61.0
77,24.0,62.0
78,25.0,52.0
79,24.0,119.0
80,25.0,70.0
81,24.0,117.0
82,25.0,117.0
83,24.0,105.0
84,25.0,103.0
85,24.0,103.0
86,25.0,103.0
87,24.0,98.0
88,24.0,74.0
89,25.0,96.0
90,24.0,80.0
91,25.0,90.0
92,87.0,69.0
93,25.0,74.0
94,88.0,90.0
95,24.0,84.0
96,24.0,79.0
97,89.0,110.0
98,24.0,75.0
99,24.0,79.0
100,24.0,78.0
101,90.0,68.0
102,77.0,75.0
103,24.0,72.0
104,24.0,69.0
105,24.0,122.0
106,91.0,60.0
107,77.0,80.0
108,24.0,66.0
109,24.0,68.0
110,90.0,130.0
111,77.0,68.0
112,77.0,60.0
113,24.0,91.0
114,91.0,88.0
115,24.0,126.0
116,77.0,91.0
117,24.0,72.0
118,64.0,126.0
119,24.0,125.0
120,24.0,88.0
121,64.0,93.0
122,77.0,51.0
123,24.0,91.0
124,64.0,132.0
125,24.0,133.0
126,77.0,55.0
127,24.0,90.0
128,64.0,100.0
129,24.0,90.0
130,77.0,99.0
131,24.0,97.0
132,64.0,70.0
133,24.0,77.0
134,24.0,94.0
135,24.0,97.0
136,24.0,70.0
137,24.0,70.0
138,24.0,69.0
139,24.0,94.0
140,24.0,69.0
141,24.0,94.0
142,24.0,104.0
143,24.0,67.0
144,24.0,96.0
145,24.0,73.0
146,24.0,77.0
147,24.0,74.0
148,24.0,108.0
149,24.0,74.0
150,24.0,76.0
151,24.0,57.0
152,109.0,114.0
153,24.0,75.0
154,24.0,58.0
155,109.0,106.0
156,24.0,69.0
157,24.0,69.0
158,24.0,66.0
159,24.0,92.0
160,24.0,75.0
161,41.0,92.0
162,24.0,121.0
163,24.0,73.0
164,24.0,73.0
165,41.0,113.0
166,113.0,68.0
167,24.0,99.0
168,41.0,67.0
169,113.0,86.0
170,60.0,65.0
171,24.0,79.0
172,41.0,65.0
173,60.0,65.0
174,24.0,65.0
175,24.0,120.0
176,24.0,64.0
177,41.0,104.0
178,24.0,89.0
179,24.0,88.0
180,60.0,105.0
181,24.0,80.0
182,41.0,102.0
183,60.0,80.0
184,24.0,64.0
185,60.0,80.0
186,24.0,96.0
187,41.0,77.0
188,41.0,59.0
189,24.0,110.0
190,41.0,77.0
191,41.0,54.0
192,24.0,85.0
193,24.0,52.0
194,60.0,104.0
195,60.0,50.0
196,60.0,50.0
197,24.0,104.0
198,31.0,43.0
199,41.0,43.0
200,24.0,43.0
201,24.0,123.0
202,31.0,100.0
203,31.0,114.0
204,41.0,123.0
205,28.0,43.0
206,24.0,121.0
207,24.0,43.0
208,28.0,102.0
209,24.0,113.0
210,24.0,106.0
211,24.0,93.0
212,24.0,51.0
213,31.0,91.0
214,24.0,86.0
215,24.0,86.0
216,24.0,48.0
217,24.0,44.0
218,31.0,94.0
219,24.0,44.0
220,24.0,76.0
221,24.0,136.0
222,31.0,101.0
223,24.0,134.0
224,24.0,79.0
225,24.0,128.0
226,31.0,50.0
227,24.0,98.0
228,24.0,50.0
229,24.0,85.0
230,24.0,50.0
231,31.0,50.0
232,24.0,131.0
233,24.0,50.0
234,31.0,85.0
235,31.0,110.0
236,24.0,52.0
237,31.0,84.0
238,31.0,52.0
239,24.0,57.0
240,24.0,58.0
241,24.0,118.0
242,24.0,58.0
243,24.0,119.0
244,24.0,60.0
245,24.0,58.0
246,24.0,120.0
247,24.0,121.0
248,24.0,62.0
